observation_id,product_id,audit_date,viewport,assistive_technology,task_step,url,dimension,rating,severity,observation,evidence,expected_pattern,problem_type,confidence,limitation
OBS-001,MIN-01,2026-07-23,desktop,none,identificarea serviciului,https://cnred.edu.ro/,XDM,2,medium,"Traseul pleacă de pe portalul ministerului și continuă pe domeniul separat CNRED, fără ca pagina de pornire să descrie complet transferul.","Pagina CNRED grupează recunoașterea pe studii preuniversitare, universitare și proceduri pentru străinătate.","Avertizare și păstrarea contextului înaintea schimbării domeniului.",interoperability,probable,"Nu a fost depus un dosar."
OBS-002,MIN-02,2026-07-23,desktop,none,identificarea canalului,https://ms.ro/contact/petitii,CNT,2,medium,"Pagina explică adresele de trimitere, dar inițierea pornește prin descărcarea unui formular PDF.","Instrucțiunea publică spune explicit să fie descărcat formularul de petiție și enumeră canalele poștale/electronice.","Formular HTML accesibil, cu alternativele prezentate împreună.",content,confirmed,"Formularul nu a fost completat sau transmis."
OBS-003,MIN-03,2026-07-23,desktop,none,eligibilitate și inițiere,https://mmuncii.gov.ro/servicii-digitale-venitul-minim-de-incluziune/,CNT,3,positive,"Pagina dedicată prezintă pragurile de eligibilitate și separă informarea de accesarea serviciului digital.","Sunt publicate pragurile de venit și există materiale distincte pentru cerere și completarea în HUB.","Rezultat, eligibilitate, documente și acțiune principală pe aceeași pagină.",content,confirmed,"Nu a fost parcursă autentificarea în HUB."
OBS-004,MIN-04,2026-07-23,desktop,none,inițiere petiție,https://mfinante.gov.ro/petitii,FRM,3,positive,"Petiția poate fi începută într-un formular web, fără descărcarea prealabilă a unui document.","Pagina publică expune câmpuri pentru identitatea și adresa petentului.","Formular HTML cu etichete, instrucțiuni și confirmare.",interface,confirmed,"Nu au fost introduse sau trimise date."
OBS-005,AGN-01,2026-07-23,desktop,none,găsirea certificatului,https://www.anaf.ro/,FIN,1,high,"Din pagina de intrare nu a putut fi confirmat un traseu public direct și concis către certificatul de atestare fiscală pentru persoană fizică.","Suprafața publică indexată prioritizează categorii instituționale și servicii generale; traseul exact nu a fost găsit fără căutare externă.","Pagină de serviciu intitulată prin rezultatul obținut, cu acces SPV explicat înainte de transfer.",content,probable,"Nu a fost folosit un cont SPV; absența din căutarea publică nu dovedește absența funcției."
OBS-006,AGN-02,2026-07-23,desktop,none,verificarea calității,https://cnas.ro/,FIN,2,medium,"Verificarea calității de asigurat este promovată, dar pașii pentru contestarea sau corectarea unui rezultat nu sunt atașați clar rezultatului în suprafața publică verificată.","Portalul public expune verificarea calității, iar documentația tehnică descrie răspunsurile sistemului; nu a fost identificat un traseu public echivalent pentru remediere.","Rezultat explicat cu motiv, dată, instituție responsabilă și acțiune de corectare.",process,probable,"Nu a fost introdus un CNP și nu a fost generat un rezultat real."
OBS-007,AGN-03,2026-07-23,desktop,none,începerea reclamației,https://anpc.ro/,AUT,2,medium,"Pagina instituției explică diferența dintre reclamația cu regim juridic și informarea rapidă, dar platforma de depunere cere cont aprobat.","Pagina ANPC descrie cele două rezultate; eservicii.anpc.ro precizează înainte de depunere că utilizatorul trebuie să fie înregistrat și aprobat.","Explicarea autentificării, duratei aprobării și alternativei înainte de transfer.",process,confirmed,"Nu a fost creat cont și nu s-a depus o reclamație."
OBS-008,AGN-04,2026-07-23,desktop,none,găsirea declarației,https://adr.gov.ro/accesibilitate-site-uri-web,ACC,1,high,"Pagina explică obligațiile generale de accesibilitate, dar nu funcționează ca declarație de accesibilitate a propriului portal și nu oferă vizibil limitările curente ale acestuia.","Titlul și conținutul paginii sunt despre accesibilitatea site-urilor publice în general.","Declarație proprie, datată, cu limitări, metodă de evaluare și canal de feedback.",content,confirmed,"Nu este un audit juridic complet al portalului ADR."
OBS-009,TRX-01,2026-07-23,desktop,none,alegerea plății fără cont,https://www.ghiseul.ro/ghiseul/public/taxe,AUT,4,positive,"Serviciul explică înainte de formular ce se poate și ce nu se poate face fără autentificare.","Pagina precizează că suma trebuie cunoscută și că obligațiile și istoricul nu pot fi consultate fără cont.","Dezvăluire progresivă a autentificării și consecințelor sale.",content,confirmed,"Plata nu a fost inițiată și nu au fost introduse date."
OBS-010,TRX-02,2026-07-23,desktop,none,selectarea județului și programarea,https://hub.mai.gov.ro/cei/programari/harta,PAY,4,positive,"Traseul oferă selecție pe județ, pagini de documente și verificarea separată a programării și stadiului cererii.","Harta de programări listează județele; serviciul publică verificarea prin e-mail și stările Preluată, Aprobată, În lucru, Finalizată.","Programare cu cerințe, confirmare, anulare și status inteligibil.",interface,confirmed,"Nu a fost rezervat un interval."
OBS-011,TRX-03,2026-07-23,desktop,none,înțelegerea înrolării,https://www.anaf.ro/anaf/internet/ANAF/servicii_online/registru_SPV,XDM,1,high,"Traseul SPV folosește pagini și URL-uri tehnice, iar opțiunile de identificare nu sunt prezentate într-un rezumat orientat pe alegerea utilizatorului la punctul de intrare verificat.","URL-ul și ierarhia publică sunt organizaționale; traseul exact necesită navigare între pagini ANAF și autentificare.","Pagină de start cu metode comparate, condiții, timp și pașii următori.",content,probable,"Nu a fost parcursă identificarea și nu au fost folosite credențiale."
OBS-012,TRX-04,2026-07-23,desktop,none,începerea solicitării,https://portal.onrc.ro/,AUT,1,high,"Solicitarea certificatului constatator nu a putut fi urmărită integral pe suprafața publică fără cont.","Portalul public conduce către servicii autentificate, iar detaliile complete ale tranzacției nu au fost confirmate înainte de blocaj.","Explicarea produsului, tarifului, termenului, formatului rezultatului și autentificării înainte de login.",process,probable,"Lipsa contului limitează evaluarea; nu rezultă că serviciul este indisponibil."
OBS-013,MUN-01,2026-07-23,desktop,none,găsirea și urmărirea cererii,https://primariaclujnapoca.ro/servicii-online/depune-cereri/,PAY,4,positive,"Portalul separă clar depunerea de verificarea stadiului și semnalizează volumul de formulare disponibile.","Pagina publică oferă Depune cereri, Registratură și Verifică cerere; pagina principală indică peste 140 de formulare online.","Punct unic de intrare cu inițiere și urmărire.",interface,confirmed,"Nu a fost depusă o cerere."
OBS-014,MUN-02,2026-07-23,desktop,none,găsirea programării,https://www.brasovcity.ro/,FIN,1,high,"Traseul pentru programarea actului de identitate nu a fost confirmat din punctul de intrare în limita auditului.","Căutarea oficială nu a furnizat o pagină stabilă a serviciului pornind din domeniul indicat.","Serviciu găsibil după rezultat și eveniment de viață, nu după compartiment.",content,hypothesis,"Poate exista un serviciu pe alt domeniu sau o pagină neindexată."
OBS-015,MUN-03,2026-07-23,desktop,none,identificarea actelor și canalului,https://oradea.ro/informatii-taxe-si-impozite/acte-necesare/persoane-fizice-acte-necesare/,DOC,1,high,"Actele sunt enumerate, dar traseul cere copii cu mențiunea conform cu originalul și semnătură olografă, fără o cale digitală completă prezentată împreună cu lista.","Pagina publică precizează că anexele se depun în copie și poartă mențiunea și semnătura olografă.","Checklist de documente cu justificare și verificare la sursă; canal digital complet.",process,confirmed,"Nu s-a stabilit dacă alte canale locale elimină copiile pentru toate cazurile."
OBS-016,MUN-04,2026-07-23,desktop,none,inițiere și urmărire sesizare,https://sesizari.primaria-constanta.ro/,PAY,3,positive,"Portalul separat identifică explicit instituția și oferă atât adăugarea, cât și urmărirea sesizărilor.","Pagina afișează Adaugă sesizare, Sesizările mele și datele Primăriei Constanța; portalul principal oferă și verificarea cererii/sesizării.","Transfer anticipat, autoritate vizibilă și status.",interface,confirmed,"Nu a fost creat cont și nu s-a transmis o sesizare."
OBS-017,LOC-01,2026-07-23,desktop,none,începerea petiției,https://www.primariareghin.ro/ro/servicii-online/petitii-online/,FRM,2,medium,"Există formular HTML direct, dar acesta include CAPTCHA și folosește formulări alternante petiție, reclamație și sugestie fără explicarea rezultatului juridic.","Formularul public solicită nume, prenume, e-mail, subiect, mesaj și CAPTCHA.","Formular cu rezultat, termen, confidențialitate, confirmare și alternativă accesibilă la CAPTCHA.",interface,confirmed,"CAPTCHA nu a fost rezolvat, iar formularul nu a fost trimis."
OBS-018,LOC-02,2026-07-23,desktop,none,găsirea unui formular complet online,https://www.municipiulcodlea.ro/,FIN,3,positive,"Pagina principală declară explicit că formularele electronice pot fi completate și trimise online.","Secțiunea Formulare Electronice este descrisă ca depunere integral online.","Etichetarea clară a nivelului de digitalizare și a rezultatului.",content,confirmed,"Nu a fost ales și trimis un formular individual."
OBS-019,LOC-03,2026-07-23,desktop,none,alegerea canalului de plată,https://www.primariaciugud.ro/primaria-online,XDM,3,positive,"Primăria prezintă împreună patru canale electronice, inclusiv platforma cetățeanului, aplicația, Ghișeul.ro și stații de plată.","Ghidul contribuabilului 2026 enumeră cele patru opțiuni și precizează politica de plată exclusiv electronică.","Comparație de canale cu eligibilitate, cost și continuitate între furnizori.",content,confirmed,"Aplicațiile și plata efectivă nu au fost testate."
OBS-020,LOC-04,2026-07-23,desktop,none,găsirea sesizării,https://floresticluj.ro/,FIN,1,high,"Traseul pentru sesizare sau petiție nu a putut fi confirmat din punctul de intrare în limita auditului.","Nu a fost identificată o destinație oficială stabilă pentru sarcina formulată fără căutare externă suplimentară.","Destinație denumită prin acțiunea cetățeanului și accesibilă din navigația principală.",content,hypothesis,"Poate exista un portal separat sau o pagină neindexată."
OBS-021,EDU-01,2026-07-23,desktop,none,găsirea procedurii de duplicat,https://www.ubbcluj.ro/,DOC,1,high,"Informația publică găsită pentru duplicate este fragmentată în regulamente PDF și nu oferă o procedură unică, orientată pe sarcină.","Regulamentul de taxe 2026–2027 enumeră duplicatele și tariful, dar nu constituie un traseu complet de solicitare.","Pagină HTML cu eligibilitate, acte, tarif, termen, canal și responsabil.",content,probable,"Proceduri specifice pot exista la facultăți; nu a fost contactat serviciul Acte de Studii."
OBS-022,EDU-02,2026-07-23,desktop,none,înțelegerea și începerea înscrierii,https://admitere.uvt.ro/procesul-de-admitere/cum-sa-aplici-procesul-de-preinscriere-online/,XDM,4,positive,"Pagina explică întregul traseu înaintea transferului către platforma autentificată.","Sunt explicate crearea contului, completarea datelor, încărcarea documentelor, plata, confirmarea locului și taxa de înmatriculare.","Preview complet al procesului înainte de autentificare și transfer.",content,confirmed,"Nu a fost creat cont și nu s-a depus dosar."
OBS-023,HLT-01,2026-07-23,desktop,none,găsirea alternativelor de programare,https://scjucluj.ro/index.php/informatii-pacienti/programari-online,PAY,2,medium,"Programarea online este disponibilă, iar portalul menționează programări telefonice, dar condițiile și alternativa nu sunt prezentate într-un rezumat unitar al sarcinii.","Navigația publică expune Programări Online și Programări telefonice ambulatoriu în zone separate.","Formular și alternative prezentate împreună, cu anulare, documente și suport.",content,probable,"Nu au fost introduse date medicale sau personale."
OBS-024,HLT-02,2026-07-23,desktop,none,programare și anulare,https://pacienti.sjub.ro/Programari-Online,PAY,4,positive,"Serviciul explică disponibilitatea, egalitatea locurilor între canale, notificarea pentru loc liber și oferă anulare.","Pagina publică precizează că online, telefonic și la recepție sunt aceleași locuri și oferă ANULARE PROGRAMARE.","Programare transparentă, alternativă echivalentă, notificare și anulare.",interface,confirmed,"Nu a fost rezervat sau anulat un interval."
